Categoria,periodo de facturacion,monto,x
arriendo,2025-03-1,590000,
Tarjeta titular,2025-03-1,535048,
vacaciones,2025-03-1,392923,
supermercado,2025-03-1,378614,
gastos comunes,2025-03-1,97038,
choquito,2025-03-1,72696,
Bencina,2025-03-1,70032,
veguita,2025-03-1,54160,
Gatos,2025-03-1,50980,
uber,2025-03-1,50752,
Seguro,2025-03-1,50070,
salir a comer,2025-03-1,47960,
Almacen,2025-03-1,39414,
gas,2025-03-1,39344,
PEAJES,2025-03-1,39050,
delivery,2025-03-1,29200,
luz,2025-03-1,17699,
internet,2025-03-1,15990,
streaming,2025-03-1,15170,
bubi,2025-03-1,14990,
agua,2025-03-1,13120,
farmacia,2025-03-1,2360,
Tarjeta titular,2025-01-1,1818920,
supermercado,2025-01-1,656098,
arriendo,2025-01-1,590000,
Bencina,2025-01-1,186754,
gastos comunes,2025-01-1,93179,
salir a comer,2025-01-1,84021,
Almacen,2025-01-1,76480,
casa,2025-01-1,68733,
PEAJES,2025-01-1,66109,
bubi,2025-01-1,51390,
Seguro,2025-01-1,49586,
veguita,2025-01-1,47300,
Gatos,2025-01-1,40990,
gas,2025-01-1,38372,
luz,2025-01-1,22102,
agua,2025-01-1,19590,
internet,2025-01-1,15990,
streaming,2025-01-1,15170,
farmacia,2025-01-1,10882,
choquito,2025-01-1,10000,
Medico,2025-01-1,1450,
arriendo,2024-12-1,590000,
supermercado,2024-12-1,550797,
Tarjeta titular,2024-12-1,435402,
gastos comunes,2024-12-1,106852,
casa,2024-12-1,90509,
Almacen,2024-12-1,81720,
gas,2024-12-1,57250,
Bencina,2024-12-1,55589,
Seguro,2024-12-1,49373,
PEAJES,2024-12-1,41201,
salir a comer,2024-12-1,36988,
veguita,2024-12-1,32200,
Regalos,2024-12-1,28500,
luz,2024-12-1,26918,
farmacia,2024-12-1,25400,
Medico,2024-12-1,23300,
agua,2024-12-1,22370,
internet,2024-12-1,15990,
streaming,2024-12-1,15170,
delivery,2024-12-1,13850,
bubi,2024-12-1,11970,
choquito,2024-12-1,10000,
agua,2024-11-1,47430,
arriendo,2024-11-1,590000,
Bencina,2024-11-1,207344,
bubi,2024-11-1,83600,
casa,2024-11-1,159198,
delivery,2024-11-1,112382,
Almacen,2024-11-1,94270,
farmacia,2024-11-1,55001,
gas,2024-11-1,69205,
gastos comunes,2024-11-1,109000,
Gatos,2024-11-1,53143,
internet,2024-11-1,15990,
luz,2024-11-1,26737,
PEAJES,2024-11-1,103601,
Regalos,2024-11-1,39700,
salir a comer,2024-11-1,216688,
Seguro,2024-11-1,98107,
streaming,2024-11-1,15170,
supermercado,2024-11-1,558273,
Tarjeta titular,2024-11-1,380804,
veguita,2024-11-1,54470,
arriendo,2024-10-1,590000,
Bencina,2024-10-1,185870,
bubi,2024-10-1,129600,
casa,2024-10-1,156864,
Credito,2024-10-1,94492,
delivery,2024-10-1,139701,
farmacia,2024-10-1,18490,
gas,2024-10-1,39197,
gastos comunes,2024-10-1,90000,
internet,2024-10-1,9698,
luz,2024-10-1,27915,
PEAJES,2024-10-1,30246,
salir a comer,2024-10-1,99902,
Seguro,2024-10-1,48846,
supermercado,2024-10-1,636583,
veguita,2024-10-1,50100,
veguita,2024-09-1,2350,
choquito,2024-09-1,10000,
internet,2024-09-1,14461,
Medico,2024-09-1,20140,
Antojos,2024-09-1,26640,
luz,2024-09-1,31704,
farmacia,2024-09-1,33701,
PEAJES,2024-09-1,38277,
Imprevistos,2024-09-1,39560,
Gatos,2024-09-1,50346,
gastos comunes,2024-09-1,62566,
salir a comer,2024-09-1,73185,
gas,2024-09-1,90503,
Credito,2024-09-1,94492,
Bencina,2024-09-1,150000,
casa,2024-09-1,168505,
bubi,2024-09-1,176520,
delivery,2024-09-1,255242,
arriendo,2024-09-1,590000,
supermercado,2024-09-1,615448,
Medico,2024-08-1,6700,
luz,2024-08-1,18276,
internet,2024-08-1,24876,
Regalos,2024-08-1,32490,
Imprevistos,2024-08-1,53610,
farmacia,2024-08-1,57954,
gastos comunes,2024-08-1,62566,
delivery,2024-08-1,68799,
veguita,2024-08-1,70833,
bubi,2024-08-1,82060,
PEAJES,2024-08-1,86452,
gas,2024-08-1,145993,
bENCINA,2024-08-1,210000,
salir a comer,2024-08-1,239904,
arriendo,2024-08-1,590000,
supermercado,2024-08-1,728966,
